gene,correlation,p_value
ENSG00000163646.10,0.21375810862539332,0.00011359448738081779
ENSG00000248705.1,0.21363382330118214,0.0001146670719389685
ENSG00000049192.14,0.21343463060145831,0.00011640595792642547
ENSG00000122952.16,0.21338084690694592,0.00011687969791256403
ENSG00000233464.2,0.2133386373490151,0.00011725275678499183
ENSG00000224269.1,0.2132872182495053,0.0001177087219041246
ENSG00000232795.1,0.21317133018252737,0.00011874248256682901
ENSG00000100632.10,0.2130191541500719,0.00012011288757517898
ENSG00000165643.10,0.21295597520700196,0.00012068618729071812
ENSG00000254491.1,0.21271270041376952,0.0001229177840251098
ENSG00000230845.1,0.21265407662281358,0.0001234613082294888
ENSG00000108821.13,0.21249274537464896,0.00012496873827407218
ENSG00000128050.8,0.2123791627708579,0.0001260403587341003
ENSG00000146205.13,0.21234390932063518,0.0001263747144199837
ENSG00000230757.1,0.2122625849922356,0.00012714919828051593
ENSG00000180613.10,0.21223639903904848,0.0001273995236523678
ENSG00000214027.3,0.21197036955090293,0.00012996897960559155
ENSG00000257991.1,0.2118983232940325,0.0001306731595244738
ENSG00000228045.1,0.21184709644503133,0.0001311760255641644
ENSG00000163017.13,0.21182643934810108,0.00013137931804970825
ENSG00000253743.1,0.21165548583874808,0.00013307309822244178
ENSG00000257986.1,0.211577994458646,0.00013384759643541815
ENSG00000100526.19,0.21151659389704455,0.00013446427217223765
ENSG00000239503.1,0.21145665648918044,0.0001350688216799793
ENSG00000187900.4,0.21143955317989732,0.00013524179842941842
ENSG00000258498.6,0.21136235941679488,0.00013602509609993258
ENSG00000259416.2,0.21135485945459392,0.0001361014257341517
ENSG00000250043.1,0.21125423880556043,0.00013712936729703333
ENSG00000072571.19,0.2112023552283897,0.00013766225051411521
ENSG00000248215.5,0.21082547385066894,0.00014159177537335902
ENSG00000249239.2,0.21080916205312422,0.00014176420023849411
ENSG00000213853.9,0.2107975172230716,0.0001418874130224055
ENSG00000049540.16,0.21072909673921386,0.0001426133933347292
ENSG00000179213.13,0.2106887763774468,0.0001430428443091202
ENSG00000121621.6,0.21066138365750423,0.0001433352945133302
ENSG00000233358.2,0.21062834853766127,0.00014368872958081153
ENSG00000197903.7,0.21058073802431765,0.00014419954056793448
ENSG00000131721.4,0.2104452209125785,0.00014566282986485895
ENSG00000151725.11,0.21040635885579964,0.00014608501596813703
ENSG00000233179.1,0.21032116853841837,0.00014701451443546482
ENSG00000244708.1,0.2100310814241212,0.00015022134634062328
ENSG00000121361.3,0.21001807833739852,0.00015036661543338742
ENSG00000075702.16,0.2100150313711636,0.00015040067484452328
ENSG00000236451.2,0.20982064036103204,0.00015258860754632593
ENSG00000166049.10,0.2097240749203984,0.00015368653491477254
ENSG00000254507.2,0.20970067074997634,0.0001539537470773175
ENSG00000235990.2,0.2096623229932666,0.00015439251550832222
ENSG00000258066.1,0.20963541277476275,0.00015470111678010453
